74DA38F7C4D8	新北市中和幼兒園
74DA38F7C418	新北市埔墘國小
74DA38F7C35C	新北市莒光國小
74DA38F7C34E	新北市後埔國小
74DA38F7C34C	新北市海山國小
74DA38F7C422	新北市江翠國小
74DA38F7C3F4	新北市沙崙國小
74DA38F7C32A	新北市中山國小
74DA38F7C3FA	新北市文聖國小
74DA38F7C33C	新北市文德國小
74DA38F7C3FC	新北市信義國小
74DA38F7C3FE	新北市實踐國小
74DA38F7C3E0	新北市溪洲國小
74DA38F7C33A	新北市大觀國小
74DA38F7C3E8	新北市重慶國小
74DA38F7C3EA	新北市樂利國小
74DA38F7C4B4	新北市安和國小
74DA38F7C4B2	新北市土城國小
74DA38F7C4B	新北市清水國小
74DA38F7C4AE	新北市頂埔國小
74DA38F7C4AC	新北市廣福國小
74DA38F7C5C8	新北市中山國中
74DA38F7C496	新北市大觀國中
74DA38F7C48A	新北市忠孝國中
74DA38F7C4F2	新北市新埔國中
74DA38F7C4FE	新北市板橋國中
74DA38F7C490	新北市江翠國中
74DA38F7C4A8	新北市溪崑國中
74DA38F7C4A6	新北市重慶國中
74DA38F7C4A4	新北市光復高中
74DA38F7C4A2	新北市板橋高中
74DA38F7C4A0	新北市海山高中
74DA38F7C49E	新北市中正國中
74DA38F7C4B8	新北市土城國中
74DA38F7C4B6	新北市清水高中
74DA38F7C49C	新北市新北高工
74DA38F7C332	新北市樹林幼兒園
74DA38F7C640	新北市鶯歌幼兒園
74DA38F7C63E	新北市三峽幼兒園
74DA38F7C398	新北市樹林國小
74DA38F7C63C	新北市文林國小
74DA38F7C63A	新北市大同國小
74DA38F7C39A	新北市武林國小
74DA38F7C638	新北市山佳國小
74DA38F7C64C	新北市育德國小
74DA38F7C64A	新北市柑園國小
74DA38F7C2FE	新北市三多國小
74DA38F7C430	新北市彭福國小
74DA38F7C31A	新北市育林國小
74DA38F7C302	新北市鶯歌國小
74DA38F7C636	新北市鳳鳴國小
74DA38F7C634	新北市二橋國小
74DA38F7C632	新北市中湖國小
74DA38F7C630	新北市建國國小
74DA38F7C382	新北市永吉國小
74DA38F7C334	新北市昌福國小
74DA38F7C44A	新北市三峽國小
74DA38F7C452	新北市民義國小
74DA38F7C30A	新北市大埔國小
74DA38F7C458	新北市成福國小
74DA38F7C472	新北市大成國小
74DA38F7C45E	新北市有木國小
74DA38F7C450	新北市五寮國小
74DA38F7C316	新北市建安國小
74DA38F7C31C	新北市安溪國小
74DA38F7C314	新北市插角國小
74DA38F7C3B2	新北市介壽國小
74DA38F7C454	新北市中園國小
74DA38F7C328	新北市龍埔國小
74DA38F7C3B4	新北市北大國小
74DA38F7C30E	新北市桃子腳國中
74DA38F7C464	新北市三多國中
74DA38F7C462	新北市柑園國中
74DA38F7C470	新北市育林國中
74DA38F7C46E	新北市樹林高中
74DA38F7C326	新北市尖山國中
74DA38F20A2E	新北市鳳鳴國中
74DA38F20A1E	新北市鶯歌國中
74DA38F20A1C	新北市鶯歌高職
74DA38F20A16	新北市三峽國中
74DA38F20A1A	新北市安溪國中
74DA38F20A30	新北市北大高中
74DA38F20A32	新北市明德高中
